"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
FAN ONOFF: THERMAL ZONE: UNIT_0204,Fan:OnOff,        0.60,1.53,105.94,106.87,635.59,        1.00,""
THERMAL ZONE: UNIT_0204: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0205,Fan:OnOff,        0.60,1.53,105.94,117.89,635.59,        1.00,""
THERMAL ZONE: UNIT_0205: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0206,Fan:OnOff,        0.60,1.53,148.32,146.96,635.59,        1.00,""
THERMAL ZONE: UNIT_0206: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0207,Fan:OnOff,        0.60,1.53,169.51,179.14,635.59,        1.00,""
THERMAL ZONE: UNIT_0207: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0208,Fan:OnOff,        0.60,1.53,127.13,130.34,635.59,        1.00,""
THERMAL ZONE: UNIT_0208: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0209_3B,Fan:OnOff,        0.60,1.53,444.96,457.91,635.59,        1.00,""
THERMAL ZONE: UNIT_0209_3B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0210,Fan:OnOff,        0.60,1.53,148.32,142.12,635.59,        1.00,""
THERMAL ZONE: UNIT_0210: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0211_2B,Fan:OnOff,        0.60,1.53,423.78,427.44,635.59,        1.00,""
THERMAL ZONE: UNIT_0211_2B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0212,Fan:OnOff,        0.60,1.53,148.32,159.14,635.59,        1.00,""
THERMAL ZONE: UNIT_0212: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0213,Fan:OnOff,        0.60,1.53,211.89,221.69,635.59,        1.00,""
THERMAL ZONE: UNIT_0213: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0214,Fan:OnOff,        0.60,1.53,190.7,195.14,635.59,        1.00,""
THERMAL ZONE: UNIT_0214: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0215,Fan:OnOff,        0.60,1.53,148.32,150.17,635.59,        1.00,""
THERMAL ZONE: UNIT_0215: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0216,Fan:OnOff,        0.60,1.53,148.32,146.96,635.59,        1.00,""
THERMAL ZONE: UNIT_0216: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0217,Fan:OnOff,        0.60,1.53,127.13,140.0,635.59,        1.00,""
THERMAL ZONE: UNIT_0217: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0218,Fan:OnOff,        0.60,1.53,127.13,135.33,635.59,        1.00,""
THERMAL ZONE: UNIT_0218: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0219_4B,Fan:OnOff,        0.60,1.53,296.64,298.73,635.59,        1.00,""
THERMAL ZONE: UNIT_0219_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0301_4B,Fan:OnOff,        0.60,1.53,1440.84,1483.57,635.59,        1.00,""
THERMAL ZONE: UNIT_0301_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0302,Fan:OnOff,        0.60,1.53,678.04,695.16,635.59,        1.00,""
THERMAL ZONE: UNIT_0302: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0303,Fan:OnOff,        0.60,1.53,783.99,797.28,635.59,        1.00,""
THERMAL ZONE: UNIT_0303: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0304,Fan:OnOff,        0.60,1.53,783.99,794.45,635.59,        1.00,""
THERMAL ZONE: UNIT_0304: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0305,Fan:OnOff,        0.60,1.53,635.66,643.09,635.59,        1.00,""
THERMAL ZONE: UNIT_0305: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0306,Fan:OnOff,        0.60,1.53,444.96,465.25,635.59,        1.00,""
THERMAL ZONE: UNIT_0306: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0307_3B,Fan:OnOff,        0.60,1.53,1906.99,1955.84,635.59,        1.00,""
THERMAL ZONE: UNIT_0307_3B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0308,Fan:OnOff,        0.60,1.53,678.04,692.56,635.59,        1.00,""
THERMAL ZONE: UNIT_0308: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0309_2B,Fan:OnOff,        0.60,1.53,1631.54,1674.3,635.59,        1.00,""
THERMAL ZONE: UNIT_0309_2B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0310,Fan:OnOff,        0.60,1.53,656.85,663.66,635.59,        1.00,""
THERMAL ZONE: UNIT_0310: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0311,Fan:OnOff,        0.60,1.53,911.12,940.86,635.59,        1.00,""
THERMAL ZONE: UNIT_0311: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0312,Fan:OnOff,        0.60,1.53,932.31,952.36,635.59,        1.00,""
THERMAL ZONE: UNIT_0312: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0313,Fan:OnOff,        0.60,1.53,868.74,891.11,635.59,        1.00,""
THERMAL ZONE: UNIT_0313: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0314,Fan:OnOff,        0.60,1.53,868.74,892.07,635.59,        1.00,""
THERMAL ZONE: UNIT_0314: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0315,Fan:OnOff,        0.60,1.53,932.31,944.28,635.59,        1.00,""
THERMAL ZONE: UNIT_0315: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0316,Fan:OnOff,        0.60,1.53,911.12,923.02,635.59,        1.00,""
THERMAL ZONE: UNIT_0316: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0317_4B,Fan:OnOff,        0.60,1.53,1991.75,2029.71,635.59,        1.00,""
THERMAL ZONE: UNIT_0317_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0401_4B,Fan:OnOff,        0.60,1.53,1525.59,1569.82,635.59,        1.00,""
THERMAL ZONE: UNIT_0401_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0402,Fan:OnOff,        0.60,1.53,783.99,809.02,635.59,        1.00,""
THERMAL ZONE: UNIT_0402: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0403,Fan:OnOff,        0.60,1.53,911.12,922.06,635.59,        1.00,""
THERMAL ZONE: UNIT_0403: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0404,Fan:OnOff,        0.60,1.53,889.93,914.15,635.59,        1.00,""
THERMAL ZONE: UNIT_0404: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0405,Fan:OnOff,        0.60,1.53,720.42,726.99,635.59,        1.00,""
THERMAL ZONE: UNIT_0405: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0406,Fan:OnOff,        0.60,1.53,508.53,513.42,635.59,        1.00,""
THERMAL ZONE: UNIT_0406: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0407_3B,Fan:OnOff,        0.60,1.53,2076.5,2131.7,635.59,        1.00,""
THERMAL ZONE: UNIT_0407_3B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0408,Fan:OnOff,        0.60,1.53,720.42,745.59,635.59,        1.00,""
THERMAL ZONE: UNIT_0408: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0409_2B,Fan:OnOff,        0.60,1.53,1737.48,1773.19,635.59,        1.00,""
THERMAL ZONE: UNIT_0409_2B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0410,Fan:OnOff,        0.60,1.53,699.23,715.8,635.59,        1.00,""
THERMAL ZONE: UNIT_0410: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0411,Fan:OnOff,        0.60,1.53,1017.06,1042.82,635.59,        1.00,""
THERMAL ZONE: UNIT_0411: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0412,Fan:OnOff,        0.60,1.53,1038.25,1062.44,635.59,        1.00,""
THERMAL ZONE: UNIT_0412: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0413,Fan:OnOff,        0.60,1.53,974.68,998.26,635.59,        1.00,""
THERMAL ZONE: UNIT_0413: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0414,Fan:OnOff,        0.60,1.53,974.68,1000.27,635.59,        1.00,""
THERMAL ZONE: UNIT_0414: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0415,Fan:OnOff,        0.60,1.53,1038.25,1065.51,635.59,        1.00,""
THERMAL ZONE: UNIT_0415: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0416,Fan:OnOff,        0.60,1.53,1017.06,1042.96,635.59,        1.00,""
THERMAL ZONE: UNIT_0416: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0417_4B,Fan:OnOff,        0.60,1.53,2182.45,2229.32,635.59,        1.00,""
THERMAL ZONE: UNIT_0417_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0501_4B,Fan:OnOff,        0.60,1.53,1525.59,1562.62,635.59,        1.00,""
THERMAL ZONE: UNIT_0501_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0502,Fan:OnOff,        0.60,1.53,783.99,800.39,635.59,        1.00,""
THERMAL ZONE: UNIT_0502: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0503,Fan:OnOff,        0.60,1.53,889.93,904.35,635.59,        1.00,""
THERMAL ZONE: UNIT_0503: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0504,Fan:OnOff,        0.60,1.53,868.74,895.89,635.59,        1.00,""
THERMAL ZONE: UNIT_0504: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0505,Fan:OnOff,        0.60,1.53,699.23,719.93,635.59,        1.00,""
THERMAL ZONE: UNIT_0505: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0506,Fan:OnOff,        0.60,1.53,508.53,509.94,635.59,        1.00,""
THERMAL ZONE: UNIT_0506: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0507_3B,Fan:OnOff,        0.60,1.53,2076.5,2133.34,635.59,        1.00,""
THERMAL ZONE: UNIT_0507_3B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0508,Fan:OnOff,        0.60,1.53,762.8,770.84,635.59,        1.00,""
THERMAL ZONE: UNIT_0508: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0509_2B,Fan:OnOff,        0.60,1.53,1716.29,1759.44,635.59,        1.00,""
THERMAL ZONE: UNIT_0509_2B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0510,Fan:OnOff,        0.60,1.53,699.23,711.57,635.59,        1.00,""
THERMAL ZONE: UNIT_0510: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0511,Fan:OnOff,        0.60,1.53,1017.06,1033.71,635.59,        1.00,""
THERMAL ZONE: UNIT_0511: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0512,Fan:OnOff,        0.60,1.53,1038.25,1053.4,635.59,        1.00,""
THERMAL ZONE: UNIT_0512: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0513,Fan:OnOff,        0.60,1.53,974.68,990.31,635.59,        1.00,""
THERMAL ZONE: UNIT_0513: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0514,Fan:OnOff,        0.60,1.53,974.68,992.42,635.59,        1.00,""
THERMAL ZONE: UNIT_0514: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0515,Fan:OnOff,        0.60,1.53,1038.25,1056.81,635.59,        1.00,""
THERMAL ZONE: UNIT_0515: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0516,Fan:OnOff,        0.60,1.53,1017.06,1034.46,635.59,        1.00,""
THERMAL ZONE: UNIT_0516: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0517_4B,Fan:OnOff,        0.60,1.53,2182.45,2230.82,635.59,        1.00,""
THERMAL ZONE: UNIT_0517_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2101_4B,Fan:OnOff,        0.60,1.53,339.02,354.11,635.59,        1.00,""
THERMAL ZONE: UNIT_2101_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2102,Fan:OnOff,        0.60,1.53,127.13,120.82,635.59,        1.00,""
THERMAL ZONE: UNIT_2102: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2103,Fan:OnOff,        0.60,1.53,148.32,141.02,635.59,        1.00,""
THERMAL ZONE: UNIT_2103: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2104,Fan:OnOff,        0.60,1.53,148.32,143.72,635.59,        1.00,""
THERMAL ZONE: UNIT_2104: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2105,Fan:OnOff,        0.60,1.53,127.13,128.16,635.59,        1.00,""
THERMAL ZONE: UNIT_2105: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2106,Fan:OnOff,        0.60,1.53,84.76,85.34,635.59,        1.00,""
THERMAL ZONE: UNIT_2106: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2107_3B,Fan:OnOff,        0.60,1.53,317.83,320.2,635.59,        1.00,""
THERMAL ZONE: UNIT_2107_3B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2108,Fan:OnOff,        0.60,1.53,148.32,157.2,635.59,        1.00,""
THERMAL ZONE: UNIT_2108: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2109_2B,Fan:OnOff,        0.60,1.53,254.27,267.48,635.59,        1.00,""
THERMAL ZONE: UNIT_2109_2B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,63.57,133.99,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2110,Fan:OnOff,        0.60,1.53,105.94,110.04,635.59,        1.00,""
THERMAL ZONE: UNIT_2110: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2111,Fan:OnOff,        0.60,1.53,148.32,153.03,635.59,        1.00,""
THERMAL ZONE: UNIT_2111: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2112,Fan:OnOff,        0.60,1.53,148.32,156.96,635.59,        1.00,""
THERMAL ZONE: UNIT_2112: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2113,Fan:OnOff,        0.60,1.53,169.51,166.58,635.59,        1.00,""
THERMAL ZONE: UNIT_2113: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2114,Fan:OnOff,        0.60,1.53,169.51,166.89,635.59,        1.00,""
THERMAL ZONE: UNIT_2114: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2115,Fan:OnOff,        0.60,1.53,148.32,157.13,635.59,        1.00,""
THERMAL ZONE: UNIT_2115: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2116,Fan:OnOff,        0.60,1.53,148.32,152.52,635.59,        1.00,""
THERMAL ZONE: UNIT_2116: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_2117_4B,Fan:OnOff,        0.60,1.53,339.02,351.79,635.59,        1.00,""
THERMAL ZONE: UNIT_2117_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: XFMR_0201,Fan:OnOff,        0.60,1.53,1080.63,1096.25,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: XFMR_0401,Fan:OnOff,        0.60,1.53,6420.21,6580.11,635.59,        1.00,""
THERMAL ZONE: RETAIL_0100 CONSTANT VOLUME FAN,Fan:ConstantVolume,        0.70,4.97,4703.91,13404.5,1768.53,        1.00,""
